date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:38:03	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2021%20Mar%202026%2013:38:02%20GMT	https://www.ihelpcs.com/api/	./www.ihelpcs.com/api/index.html	(from https://www.ihelpcs.com/)
09:38:04	579/579	---MCZ	200	added ('OK')	text/xml	etag:W/%22243-fXBStUQMtxBu2S8ck5wO36mPIHk%22	https://www.ihelpcs.com/sitemap.xml	./www.ihelpcs.com/sitemap.xml	(from https://www.ihelpcs.com/)
09:38:04	2206/2206	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Mar%202026%2013:38:04%20GMT	https://www.ihelpcs.com/feed.xml	./www.ihelpcs.com/feed.d.delayed	(from https://www.ihelpcs.com/)
09:38:05	2203/2203	---MCZ	400	error ('Bad%20Request')	text/html	date:Sat,%2021%20Mar%202026%2013:38:05%20GMT	https://www.ihelpcs.com/decodeURIComponent(e	./www.ihelpcs.com/decodeURIComponent(e.e.delayed	(from https://www.ihelpcs.com/)
09:38:08	690947/690947	---MCZ	200	added ('OK')	text/html	etag:W/%2293c1f60a095dd4e2f5e7c201d4dce2c0%22	https://www.ihelpcs.com/copy-of-film-to-digital-1	./www.ihelpcs.com/copy-of-film-to-digital-1.html	(from https://www.ihelpcs.com/copy-of-film-to-digital-dvd)
09:38:10	1137393/1137393	---MCZ	200	added ('OK')	text/html	etag:W/%2230de0123de02df4aec6d78c560b6d4a4%22	https://www.ihelpcs.com/post/practical-tips-to-help-avoid-online-scams	./www.ihelpcs.com/post/practical-tips-to-help-avoid-online-scams.html	(from https://www.ihelpcs.com/blog)
09:38:11	1093327/1093327	---MCZ	200	added ('OK')	text/html	etag:W/%226e59532d8579318771969dc96a3b9d65%22	https://www.ihelpcs.com/profile/tim/profile	./www.ihelpcs.com/profile/tim/profile.html	(from https://www.ihelpcs.com/blog)
09:38:12	2206/2206	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Mar%202026%2013:38:12%20GMT	https://www.ihelpcs.com/api	./www.ihelpcs.com/api.12.delayed	(from https://www.ihelpcs.com/api/)
09:38:12	2206/2206	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Mar%202026%2013:38:12%20GMT	https://www.ihelpcs.com/envelope	./www.ihelpcs.com/envelope.13.delayed	(from https://www.ihelpcs.com/envelope/)
09:38:18	775747/775747	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2210cbc4508e32afc9ef6476c0ccb79461%22	https://www.ihelpcs.com/post/t	./www.ihelpcs.com/post/t.14.delayed	(from https://www.ihelpcs.com/post/practical-tips-to-help-avoid-online-scams)
09:38:19	773924/773924	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22a36a0fdf42d416e8bfb24b0b40c9f7bc%22	https://www.ihelpcs.com/post/o	./www.ihelpcs.com/post/o.15.delayed	(from https://www.ihelpcs.com/post/practical-tips-to-help-avoid-online-scams)
09:38:20	774788/774788	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%222b05e4653ba23a68d1cb6a75dcecd7a8%22	https://www.ihelpcs.com/post/window.location.href	./www.ihelpcs.com/post/window.location.16.delayed	(from https://www.ihelpcs.com/post/practical-tips-to-help-avoid-online-scams)
09:38:22	774751/774751	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2213f68826f6db859fa6cd20e74061a07e%22	https://www.ihelpcs.com/post/robots.txt	./www.ihelpcs.com/post/robots.17.delayed	(from https://www.ihelpcs.com/post/practical-tips-to-help-avoid-online-scams)
09:38:23	2206/2206	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Mar%202026%2013:38:23%20GMT	https://www.ihelpcs.com/post/sitemap.xml	./www.ihelpcs.com/post/sitemap.18.delayed	(from https://www.ihelpcs.com/post/practical-tips-to-help-avoid-online-scams)
09:38:24	2206/2206	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Mar%202026%2013:38:24%20GMT	https://www.ihelpcs.com/post/feed.xml	./www.ihelpcs.com/post/feed.19.delayed	(from https://www.ihelpcs.com/post/practical-tips-to-help-avoid-online-scams)
09:38:26	775936/775936	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22f65d171ca9719745e8e517586481cda7%22	https://www.ihelpcs.com/post/decodeURIComponent(e	./www.ihelpcs.com/post/decodeURIComponent(e.1a.delayed	(from https://www.ihelpcs.com/post/practical-tips-to-help-avoid-online-scams)
09:38:27	519340/519340	---MCZ	200	added ('OK')	text/html	etag:W/%227ea4a0cecacc7848b66a41d9522fce25%22	https://www.ihelpcs.com/profile/tim/t	./www.ihelpcs.com/profile/tim/t.html	(from https://www.ihelpcs.com/profile/tim/profile)
09:38:27	518305/518305	---MCZ	200	added ('OK')	text/html	etag:W/%2299ae31ed9113a50509e80f172c2c1a8d%22	https://www.ihelpcs.com/profile/tim/o	./www.ihelpcs.com/profile/tim/o.html	(from https://www.ihelpcs.com/profile/tim/profile)
09:38:29	518421/518421	---MCZ	200	added ('OK')	text/html	etag:W/%2263f9fe35e0b7c9b40d4eb4f505be06b1%22	https://www.ihelpcs.com/profile/tim/window.location.href	./www.ihelpcs.com/profile/tim/window.location.html	(from https://www.ihelpcs.com/profile/tim/profile)
09:38:30	517722/517722	---MCZ	200	added ('OK')	text/html	etag:W/%2231bebc5085be11e4d2883a087b08fc9b%22	https://www.ihelpcs.com/profile/tim/robots.txt	./www.ihelpcs.com/profile/tim/robots.html	(from https://www.ihelpcs.com/profile/tim/profile)
09:38:30	2206/2206	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Mar%202026%2013:38:30%20GMT	https://www.ihelpcs.com/profile/tim/sitemap.xml	./www.ihelpcs.com/profile/tim/sitemap.1f.delayed	(from https://www.ihelpcs.com/profile/tim/profile)
09:38:31	2206/2206	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Mar%202026%2013:38:31%20GMT	https://www.ihelpcs.com/profile/tim/feed.xml	./www.ihelpcs.com/profile/tim/feed.20.delayed	(from https://www.ihelpcs.com/profile/tim/profile)
09:38:33	519656/519656	---MCZ	200	added ('OK')	text/html	etag:W/%22375b7c06d0576988eb193853e5af6fab%22	https://www.ihelpcs.com/profile/tim/decodeURIComponent(e	./www.ihelpcs.com/profile/tim/decodeURIComponent(e.html	(from https://www.ihelpcs.com/profile/tim/profile)
09:38:35	701139/701139	---M--	200	added ('OK')	text/html	etag:W/%223db4640105fbcdc553b6c4131c56ec45%22	https://www.ihelpcs.com/contact_us	./www.ihelpcs.com/contact_us.html	(from https://www.ihelpcs.com/)
